v_mps,snr_db,n_total,n_valid,invalid_rate,v_bias_mps,v_std_mps,v_rmse_mps,v_abs_mean_mps,v_ci95_low_mps,v_ci95_high_mps,v_outlier_rate,q_bias_m3ph,q_std_m3ph,q_rmse_m3ph,q_abs_mean_m3ph,q_ci95_low_m3ph,q_ci95_high_m3ph,q_outlier_rate
0.5,40,200,200,0,8.48634706374316e-05,0.0027936814049339,0.0027879803302679,0.00220951297923635,-0.00517041184096466,0.00566435497481513,0,9.597832412861e-05,0.00315957923215587,0.00315313146861209,0.00249890030768887,-0.00584759802801887,0.00640623455143352,0
0.5,35,200,200,0,-7.24533164102814e-06,0.00548812936360426,0.00547439664135944,0.0043938383417874,-0.00974137423145166,0.00969701878964541,0,-8.19427703621312e-06,0.00620692808063384,0.00619139673767932,0.00496931409202335,-0.011017234699703,0.010967069876858,0
0.5,30,200,200,0,0.00111652574625209,0.00882679301155926,0.00887520947564679,0.00688645355174745,-0.0166939836120629,0.0172718275795295,0,0.00126276086950903,0.00998286770875403,0.0100376254395945,0.00778839547948457,-0.0188804506589298,0.0195339767896511,0
0.5,25,200,200,0,0.00130642513645967,0.0171259479885013,0.0171329609428581,0.0141338681642134,-0.0332846837698769,0.0293153697882927,0,0.00147753202002007,0.0193689908591171,0.0193769223236366,0.0159850283009399,-0.0376440904830617,0.0331549021311008,0
0.5,20,200,200,0,-0.00228353198620549,0.0277755450856176,0.0277999643634877,0.0226757288269158,-0.0551259235172165,0.047083541047544,0,-0.00258261383235613,0.0314134014205542,0.0314410189731807,0.0256456451150759,-0.0623459506838544,0.0532502303975848,0
0.5,15,200,200,0,-0.0158697209013489,0.0576216114243724,0.0596279875068106,0.0461226343043472,-0.13089772316145,0.0774124624168536,0,-0.0179482314953513,0.0651685072099731,0.0674376650999065,0.0521634704741085,-0.148041837164031,0.0875514323610301,0.01
0.5,10,200,199,0.005,-0.0146122873671149,0.0987698392318506,0.0995990841608688,0.0746458674133403,-0.231280573574544,0.135639904296904,0.0452261306532663,-0.0165261076720816,0.11170605647773,0.11264391039746,0.0844224871271715,-0.261572166309536,0.1534051176742,0.0603015075376884
1,40,200,200,0,2.64925195247845e-06,0.00292945559898381,0.00292212398341025,0.00237094390074144,-0.00526648830521789,0.00632531396658552,0,2.99623336979415e-06,0.0033131362279626,0.00330484436609766,0.00268147437863142,-0.00595625794916003,0.00715376156006658,0
1,35,200,200,0,0.00061025947819462,0.00536848327680116,0.0053897055819918,0.00425327162039652,-0.00999734784777156,0.010671249777474,0,0.000690187209652801,0.00607161154439456,0.00609561340610307,0.00481033687548951,-0.0113067340394185,0.0120688991659924,0
1,30,200,200,0,0.000417293501881195,0.00953857196335064,0.00952384203938889,0.00761754018781931,-0.0176742137989901,0.0170401781811713,0,0.000471947831964344,0.010787870738088,0.0107712115865618,0.00861523498529215,-0.0199890648823977,0.0192719874923385,0
1,25,200,200,0,-1.68573586214521e-05,0.0167567680488615,0.0167148321330688,0.0133538313387167,-0.0307708648585226,0.03667390467134,0,-1.90652234413924e-05,0.0189514581840761,0.0189040297806848,0.0151028274351562,-0.0348010282742899,0.0414772090178163,0
1,20,200,200,0,0.00330106860843975,0.0340568795750682,0.0341316384768791,0.0265284047650243,-0.0578761242336585,0.0683564605542558,0,0.00373342064013735,0.0385174233638016,0.0386019736898206,0.0300029189476525,-0.0654563544158562,0.077309335548954,0
1,15,200,200,0,0.0108099304003868,0.0621576765048894,0.0629373772888993,0.0491494210551548,-0.0888964027297983,0.151219709252927,0.01,0.0122257432554021,0.0702986759539097,0.0711804967657255,0.0555866856414237,-0.100539462868738,0.171025461960113,0.025
1,10,200,200,0,0.0261278010142465,0.117633974940802,0.120213249211189,0.0855581639002829,-0.128684482794576,0.343569620036808,0.08,0.0295498467794926,0.133040891335172,0.135957981810971,0.0967640036989537,-0.145538721280239,0.388568085949538,0.125
2,40,200,200,0,-0.000218689292089715,0.00285226673063349,0.00285351947279846,0.00231754103590136,-0.00602017577682517,0.00544153104549167,0,-0.000247331762441163,0.00322583767453325,0.00322725449254287,0.00262107716140103,-0.00680865839776561,0.00615422662444718,0
2,35,200,200,0,-0.000153932133215281,0.00539516729960158,0.00538386349579677,0.00434868572435157,-0.0108500751646594,0.0100241118997168,0,-0.000174093141189713,0.00610179046319384,0.00608900616227714,0.00491824768478175,-0.0122711459141487,0.0113370034690483,0
2,30,200,200,0,0.000204831489366228,0.00937537857427713,0.00935415366203675,0.00727633701452526,-0.021815387605629,0.0171465181620137,0,0.00023165895679812,0.010603303363286,0.0105792985530737,0.00822934328755537,-0.0246726221173406,0.0193922551772736,0
2,25,200,200,0,-0.00177865360639845,0.0166901158710045,0.0167430814547434,0.0128697454971111,-0.0411033041215056,0.026338060663823,0,-0.00201160983713118,0.0188760763468476,0.0189359790108038,0.014555339246626,-0.0464867417759001,0.0297876448408566,0
2,20,200,200,0,0.000535812133939806,0.0307517268275722,0.0306794304706934,0.024513201609699,-0.0618181127175796,0.0634282892935505,0,0.000605989246928296,0.0347793836712123,0.0346976184178977,0.0277237778734785,-0.0699146383580402,0.0717357051627794,0
2,15,200,200,0,-0.00163733867590809,0.0525166144286087,0.0524107402640676,0.0422879404339649,-0.11510616319624,0.0862245160161133,0,-0.0018517864160416,0.0593948916289169,0.0592751507698072,0.0478265338810033,-0.130182003604877,0.0975176301872005,0.005
2,10,200,196,0.02,-0.0230759605901958,0.101124308246116,0.103471984443174,0.0762382573891792,-0.269897047611157,0.122540582800902,0.0612244897959184,-0.0260982965752872,0.114368898198726,0.117024057424452,0.0862234377610799,-0.305246369520283,0.138590134089813,0.0663265306122449
